mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__criterion,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.7024984359741211,0.03155347117495099,0.09241244792938233,0.004073492615289906,entropy,106,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 106}",0.7518796992481204,0.7919799498746868,0.7819548872180452,0.7669172932330827,0.7744360902255639,0.7763157894736842,0.7394736842105264,0.8026315789473684,0.831578947368421,0.8026315789473685,0.7819799498746868,0.02538055281565508,4
0.6997526407241821,0.03058511003852036,0.0963754653930664,0.004066404087526558,entropy,107,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 107}",0.7468671679197996,0.7844611528822055,0.7719298245614035,0.7669172932330826,0.7644110275689222,0.768421052631579,0.7315789473684212,0.8052631578947368,0.8394736842105261,0.8052631578947369,0.7784586466165415,0.02977494503923548,117
0.7084219455718994,0.029568589801462878,0.09423520565032958,0.003704824189748403,entropy,108,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 108}",0.7443609022556391,0.7894736842105264,0.7719298245614035,0.7568922305764411,0.7644110275689222,0.768421052631579,0.736842105263158,0.8131578947368421,0.8368421052631578,0.7894736842105264,0.7771804511278196,0.029222265021471107,211
0.7233711004257202,0.029104522137930813,0.09203453063964843,0.0055910438549339695,entropy,109,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 109}",0.7543859649122807,0.7844611528822056,0.7819548872180452,0.7769423558897244,0.7593984962406014,0.7710526315789474,0.7315789473684211,0.8026315789473685,0.8315789473684211,0.8052631578947369,0.7799248120300752,0.027108991015170447,39
0.7383012533187866,0.04569517407525587,0.0988158941268921,0.007814663718923918,entropy,110,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 110}",0.7468671679197996,0.7719298245614035,0.7744360902255639,0.7669172932330828,0.7619047619047619,0.768421052631579,0.7368421052631579,0.8078947368421052,0.8368421052631579,0.7973684210526316,0.7769423558897244,0.028118413171160195,231
0.7282212257385254,0.04830692102643944,0.09778587818145752,0.007679391988434433,entropy,111,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 111}",0.7418546365914788,0.7744360902255639,0.7794486215538846,0.7669172932330826,0.7719298245614036,0.7710526315789474,0.7289473684210526,0.7999999999999998,0.8342105263157894,0.8078947368421053,0.7776691729323308,0.02910603263796892,175
0.7221215009689331,0.03402421104074712,0.0975003957748413,0.007126657018951572,entropy,112,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 112}",0.744360902255639,0.7769423558897244,0.7694235588972431,0.7769423558897244,0.7619047619047619,0.7736842105263159,0.7315789473684212,0.7973684210526315,0.8394736842105263,0.7921052631578949,0.7763784461152883,0.02822550616012025,269
0.7276871681213379,0.02545770790432533,0.09790599346160889,0.0038585618841729084,entropy,113,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 113}",0.7518796992481204,0.7869674185463659,0.7844611528822056,0.7619047619047619,0.7669172932330826,0.7736842105263158,0.7368421052631579,0.7999999999999999,0.8263157894736842,0.7973684210526316,0.7786340852130325,0.024674770973322404,113
0.7598597526550293,0.031889226720649935,0.09680876731872559,0.005747900738037404,entropy,114,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 114}",0.7493734335839599,0.7819548872180452,0.7694235588972431,0.7719298245614035,0.761904761904762,0.7736842105263158,0.7368421052631579,0.8131578947368421,0.831578947368421,0.8,0.778984962406015,0.02738294814449061,82
1.0057384014129638,0.21263819114257093,0.1404346466064453,0.051986831255997484,entropy,115,"{'estimator__criterion': 'entropy', 'estimator__n_estimators': 115}",0.7518796992481204,0.7794486215538847,0.7694235588972431,0.7619047619047619,0.7619047619047619,0.768421052631579,0.7394736842105264,0.8078947368421051,0.8368421052631578,0.805263157894737,0.7782456140350879,0.028197226345788723,132
