program_name,c81,c82,c83,c84,c85,c86,c87,c88
cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-1.c,64.67333333,66.57333333,64.67666667,64.94666667,63.95,64.40333333,63.22666667,66.39333333
cfiles32/ntdrivers-simplified/cdaudio_simpl1.cil-2.c,65.02666667,67.57666667,66.48333333,65.03,64.20666667,65.12,63.20666667,64.12
cfiles32/ntdrivers-simplified/diskperf_simpl1.cil.c,60.42666667,63.35333333,63.93666667,59.84333333,61.21,65.10666667,63.35,61.01333333
cfiles32/ntdrivers-simplified/floppy_simpl3.cil-1.c,76.98,76.42666667,76.24333333,76.05666667,76.05666667,76.98333333,75.13666667,76.98333333
cfiles32/ntdrivers-simplified/floppy_simpl3.cil-2.c,74.4,76.79666667,75.50666667,75.32333333,76.42666667,75.69333333,76.43,75.50666667
cfiles32/ntdrivers-simplified/floppy_simpl4.cil-1.c,82.26333333,82.76666667,82.01333333,82.14,81.76333333,82.38666667,81.25666667,81.88666667
cfiles32/ntdrivers-simplified/floppy_simpl4.cil-2.c,81.38333333,81.76,81.00666667,82.26333333,81.76,81.38333333,81.00666667,80.88
cfiles32/ntdrivers-simplified/kbfiltr_simpl1.cil.c,61.02,60.75333333,60.21666667,60.48333333,61.02,60.48333333,60.21333333,61.29
cfiles32/ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,62.5,63.33333333,62.66666667,64.83333333,63.33333333,62.83333333,64,64.33333333
cfiles32/openssl-simplified/s3_clnt_2.cil-1.c,76.95,75.62,76.19,76,75.23666667,75.23666667,75.81,74.48
cfiles32/openssl-simplified/s3_clnt_3.cil-3.c,75.24,74.66666667,75.80666667,75.42666667,75.43,75.43,74.85666667,74.28333333
cfiles32/openssl-simplified/s3_srvr_8.cil.c,64.43666667,65.07,64.91,64.43333333,65.55,64.43666667,64.27333333,65.07
cfiles32/openssl/s3_srvr.blast.07.i.cil-1.c,74.88,74.72333333,74.88,74.88333333,74.72666667,75.04,74.25,74.88333333
cfiles32/openssl/s3_srvr.blast.09.i.cil-1.c,74.40666667,74.88333333,74.56666667,74.88,74.56666667,74.56333333,75.04333333,74.56333333
cfiles32/openssl/s3_srvr.blast.15.i.cil-2.c,69.56,69.25666667,69.25333333,69.56,69.10333333,69.56,69.71,69.55666667
cfiles32/psyco/psyco_abp_1-1.c,68.83333333,67.5,68.5,68.5,68.5,68.5,68.5,69.5
cfiles32/psyco/psyco_abp_1-2.c,68.35333333,68.35333333,68.01666667,68.35333333,68.69,68.35333333,68.35333333,68.69
cfiles32/psyco/psyco_abp_1-3.c,68.35333333,68.35333333,68.35333333,68.35333333,68.69,68.69,68.01666667,68.35333333
cfiles32/seq-mthreaded/pals_floodmax.3.1.ufo.BOUNDED-6.pals.c,8.626666667,6.47,7.84,8.433333333,8.626666667,7.84,8.626666667,7.453333333
