mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__metric,param_estimator__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.028471088409423827,0.0025748040477522826,0.023945069313049315,0.005597012692300087,euclidean,11,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 11}",0.7916666666666667,0.857456140350877,0.6727688787185354,0.8970251716247141,0.8466819221967963,0.8649885583524027,0.8443935926773454,0.7665903890160183,0.9382151029748286,0.8649885583524027,0.8344774980930586,0.07064131303488065,44
0.024482321739196778,0.003897693329561976,0.016983509063720703,0.002157835070207183,euclidean,12,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 12}",0.8092105263157895,0.8442982456140351,0.6681922196796339,0.8947368421052632,0.8466819221967963,0.8558352402745996,0.8398169336384439,0.7688787185354692,0.9382151029748286,0.8627002288329519,0.8328565980167809,0.06963145833537528,49
0.024143385887145995,0.003686971552587999,0.02229912281036377,0.010255588633830987,euclidean,13,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 13}",0.8092105263157895,0.8464912280701754,0.6681922196796339,0.8970251716247141,0.839816933638444,0.8375286041189931,0.8192219679633868,0.7620137299771168,0.9336384439359268,0.8581235697940504,0.8271262395118232,0.06907888419849514,66
0.02636592388153076,0.0029499057767562995,0.023426461219787597,0.00338306639929625,euclidean,14,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 14}",0.8092105263157895,0.8530701754385964,0.6681922196796339,0.8947368421052632,0.839816933638444,0.8421052631578947,0.8215102974828374,0.7597254004576659,0.9359267734553777,0.8581235697940504,0.8282418001525553,0.069692940479105,64
0.027649068832397462,0.0019984221612019243,0.026733136177062987,0.004918817027251584,euclidean,15,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 15}",0.8004385964912281,0.837719298245614,0.6704805491990848,0.8970251716247141,0.8421052631578947,0.839816933638444,0.8283752860411898,0.7597254004576659,0.931350114416476,0.8352402745995423,0.8242276887871853,0.06783986437129981,73
0.02831704616546631,0.0038114643852785062,0.026471686363220216,0.00527962742878649,euclidean,16,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 16}",0.8004385964912281,0.837719298245614,0.6727688787185354,0.8970251716247141,0.8558352402745996,0.8581235697940504,0.851258581235698,0.7688787185354692,0.9336384439359268,0.8352402745995423,0.8310926773455376,0.06822759303765213,53
0.027550911903381346,0.003149078522402261,0.02201733589172363,0.0031806167403062983,euclidean,17,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 17}",0.7916666666666666,0.8114035087719299,0.6773455377574372,0.9016018306636158,0.8741418764302058,0.8535469107551487,0.8535469107551487,0.7665903890160183,0.906178489702517,0.8032036613272312,0.823922578184592,0.06593597990469757,75
0.0262300968170166,0.0032484151330526793,0.022870898246765137,0.003841176544501479,euclidean,18,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 18}",0.7916666666666666,0.8135964912280702,0.6819221967963386,0.9016018306636158,0.8878718535469108,0.8649885583524025,0.8649885583524027,0.7688787185354692,0.906178489702517,0.8146453089244851,0.8296338672768879,0.0666058005823297,57
0.030601906776428222,0.012014182927662466,0.02713179588317871,0.005990480932517311,euclidean,19,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 19}",0.7763157894736842,0.7741228070175438,0.7048054919908466,0.9267734553775744,0.8832951945080091,0.8627002288329519,0.8581235697940504,0.7688787185354692,0.8581235697940504,0.7734553775743707,0.818659420289855,0.06494735762723473,86
0.028770875930786134,0.003452332473777616,0.024492573738098145,0.00504961840309734,euclidean,20,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 20}",0.7807017543859649,0.7785087719298246,0.7093821510297482,0.8855835240274599,0.8947368421052632,0.8741418764302058,0.8855835240274599,0.7711670480549199,0.8581235697940504,0.780320366132723,0.821824942791762,0.06164474931112199,84
0.027994656562805177,0.001971758946621829,0.025104570388793945,0.005421633520979606,euclidean,21,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 21}",0.7631578947368421,0.7741228070175438,0.7208237986270023,0.9382151029748284,0.8741418764302058,0.8741418764302058,0.8855835240274599,0.7711670480549199,0.8558352402745996,0.780320366132723,0.823750953470633,0.06664304458314706,77
0.027606558799743653,0.0021950006143148034,0.020382046699523926,0.005461956431959593,euclidean,22,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 22}",0.7543859649122808,0.7785087719298246,0.6796338672768879,0.9382151029748284,0.8924485125858123,0.8741418764302058,0.8649885583524027,0.7757437070938216,0.8764302059496567,0.7848970251716246,0.8219393592677344,0.07499725384278372,82
0.02946028709411621,0.0017080251235966708,0.02750992774963379,0.005347432283721646,euclidean,23,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 23}",0.7565789473684211,0.7763157894736842,0.6864988558352403,0.9382151029748284,0.8924485125858123,0.8741418764302058,0.906178489702517,0.77116704805492,0.8970251716247138,0.7848970251716246,0.8283466819221967,0.07885927351157042,62
0.028807806968688964,0.0017106468255388846,0.027556800842285158,0.005214290825684234,euclidean,24,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 24}",0.7719298245614036,0.8179824561403508,0.6338672768878718,0.8924485125858123,0.8970251716247141,0.860411899313501,0.906178489702517,0.7734553775743708,0.9084668192219679,0.8237986270022883,0.8285564454614798,0.0815333076442078,60
0.026804280281066895,0.0031018222506259694,0.024716496467590332,0.006647861161752478,euclidean,25,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 25}",0.7697368421052632,0.8135964912280702,0.665903890160183,0.9016018306636155,0.8924485125858125,0.860411899313501,0.9130434782608695,0.7711670480549199,0.9084668192219679,0.8192219679633868,0.8315598779557589,0.07575367323088449,51
0.027262067794799803,0.0038511366902166688,0.028081703186035156,0.011300066828921039,euclidean,26,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 26}",0.7741228070175438,0.8399122807017543,0.6338672768878718,0.8810068649885584,0.8901601830663616,0.860411899313501,0.8627002288329519,0.7711670480549199,0.8947368421052632,0.8581235697940501,0.8266209000762774,0.07631030241268774,69
0.02642359733581543,0.003237234708865102,0.020241355895996092,0.0029913629426847953,euclidean,27,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 27}",0.7719298245614035,0.8267543859649124,0.643020594965675,0.919908466819222,0.8970251716247141,0.8741418764302058,0.8695652173913043,0.7620137299771167,0.9153318077803205,0.8581235697940501,0.8337814645308924,0.08184460011551731,46
0.022310924530029298,0.001745106104219594,0.020783114433288574,0.0032044361714984714,euclidean,28,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 28}",0.7631578947368421,0.8267543859649124,0.6270022883295193,0.8993135011441649,0.8695652173913043,0.860411899313501,0.8398169336384439,0.7665903890160183,0.9153318077803205,0.8581235697940501,0.8226067887109079,0.08038913564309144,79
0.025050091743469238,0.0026813987526394683,0.024361276626586915,0.004247944977453861,euclidean,29,"{'estimator__metric': 'euclidean', 'estimator__n_neighbors': 29}",0.7543859649122806,0.8223684210526315,0.6430205949656751,0.9176201372997713,0.8672768878718536,0.8627002288329519,0.8855835240274599,0.7643020594965675,0.8901601830663616,0.839816933638444,0.8247234935163998,0.07855961630358477,71
